transaction_id,sender_account,receiver_account,transaction_date,amount,transaction_type
t120,A911,D733,2024-07-25,2070.0,deposit
t121,A786,D443,2024-03-05,2751.0,withdrawal
t122,A625,D518,2024-12-02,2657.0,transfer
t123,A319,D552,2024-02-02,4169.0,transfer
t124,A678,D853,2024-08-03,2868.0,withdrawal
,,,,,
,,,,,
,,,,,
t128,A494,D857,2024-04-20,2008.0,transfer
,,,,,
,,,,,
,,,,,
t132,A741,D739,2024-04-26,3939.0,transfer
t133,A733,D815,2024-01-17,4000.0,withdrawal
,,,,,
t135,A990,D545,2024-03-24,336.0,withdrawal
t136,A439,D539,2024-02-02,450.0,withdrawal
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
t145,A204,D789,2024-01-22,3863.0,withdrawal
,,,,,
,,,,,
,,,,,
,,,,,
t150,A218,D357,2024-08-09,4239.0,withdrawal
t151,A713,D649,2024-03-21,1013.0,transfer
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
t158,A315,D105,2024-05-05,1672.0,withdrawal
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
t165,A350,D256,2024-07-22,3867.0,withdrawal
,,,,,
,,,,,
t168,A989,D478,2024-02-03,3595.0,withdrawal
t169,A874,D611,2024-01-16,896.0,withdrawal
t170,A417,D492,2024-02-03,1065.0,withdrawal
t171,A809,D787,2024-08-19,2135.0,deposit
,,,,,
t173,A148,D407,2024-08-28,4953.0,deposit
t174,A124,D767,2024-12-07,2777.0,withdrawal
,,,,,
t176,A231,D749,2024-07-22,4043.0,withdrawal
t177,A152,D492,2024-12-14,320.0,deposit
t178,A118,D626,2024-11-11,741.0,withdrawal
,,,,,
t180,A341,D346,2024-02-26,1213.0,deposit
t181,A597,D505,2024-07-07,669.0,deposit
t182,A486,D963,2024-05-24,4399.0,deposit
,,,,,
,,,,,
t185,A643,D542,2024-06-16,803.0,transfer
t186,A721,D950,2024-06-24,403.0,withdrawal
,,,,,
,,,,,
t189,A234,D482,2024-04-13,4745.0,deposit
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
t197,A978,D600,2024-07-07,2337.0,transfer
,,,,,
,,,,,
t200,A214,D569,2024-06-15,4273.0,transfer
t201,A246,D583,2024-12-19,3654.0,withdrawal
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
t209,A980,D456,2024-10-06,1779.0,transfer
t210,A102,D514,2024-02-05,1335.0,withdrawal
t211,A322,D660,2024-10-14,954.0,transfer
t212,A105,D538,2024-09-24,2488.0,transfer
t213,A430,D568,2024-06-07,2756.0,transfer
,,,,,
t215,A749,D839,2024-12-01,4211.0,withdrawal
,,,,,
t217,A910,D263,2024-11-20,2890.0,withdrawal
t218,A555,D805,2024-08-24,872.0,deposit
t219,A734,D615,2024-08-01,4156.0,withdrawal
t220,A681,D923,2024-09-23,4140.0,transfer
,,,,,
t222,A207,D319,2024-05-18,4759.0,deposit
t223,A303,D776,2024-08-02,1626.0,deposit
t224,A776,D608,2024-08-24,4742.0,withdrawal
,,,,,
,,,,,
,,,,,
t228,A158,D209,2024-07-15,2899.0,transfer
,,,,,
t230,A134,D718,2024-04-09,1290.0,withdrawal
t231,A778,D384,2024-03-05,3845.0,deposit
t232,A588,D934,2024-08-20,1661.0,deposit
,,,,,
t234,A630,D550,2024-03-17,4973.0,withdrawal
,,,,,
,,,,,
,,,,,
t238,A698,D692,2024-10-15,180.0,transfer
,,,,,
t240,A875,D942,2024-04-11,2831.0,withdrawal
,,,,,
,,,,,
,,,,,
t244,A982,D443,2024-05-20,4861.0,withdrawal
,,,,,
t246,A943,D626,2024-03-22,4129.0,transfer
t247,A489,D919,2024-01-06,479.0,deposit
t248,A927,D943,2024-05-13,340.0,transfer
t249,A466,D242,2024-03-06,3847.0,transfer
,,,,,
t251,A830,D630,2024-07-08,3256.0,withdrawal
t252,A628,D259,2024-01-25,4001.0,deposit
t253,A737,D931,2024-08-14,2122.0,deposit
t254,A258,D589,2024-03-16,4184.0,withdrawal
t255,A827,D437,2024-07-25,504.0,withdrawal
,,,,,
t257,A654,D711,2024-09-03,1396.0,transfer
t258,A902,D354,2024-07-15,773.0,withdrawal
,,,,,
t260,A115,D621,2024-06-21,2881.0,deposit
,,,,,
t262,A615,D221,2024-12-07,3124.0,deposit
,,,,,
t264,A520,D274,2024-05-06,1546.0,deposit
,,,,,
t266,A992,D481,2024-09-05,1636.0,deposit
t267,A423,D381,2024-11-06,387.0,withdrawal
t268,A768,D770,2024-02-25,2373.0,transfer
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
t274,A980,D892,2024-12-03,2225.0,transfer
t275,A842,D595,2024-11-20,3869.0,transfer
t276,A767,D650,2024-04-01,877.0,deposit
,,,,,
,,,,,
,,,,,
,,,,,
t281,A412,D470,2024-08-01,4329.0,withdrawal
,,,,,
,,,,,
,,,,,
t285,A825,D492,2024-06-26,4072.0,transfer
,,,,,
t287,A211,D170,2024-05-18,3507.0,withdrawal
,,,,,
t289,A750,D521,2024-11-13,4973.0,withdrawal
,,,,,
t291,A693,D876,2024-03-13,2828.0,transfer
t292,A703,D850,2024-11-16,1530.0,deposit
t293,A731,D448,2024-05-05,4170.0,deposit
t294,A197,D738,2024-06-22,1973.0,deposit
,,,,,
t296,A417,D139,2024-01-14,761.0,withdrawal
t297,A687,D717,2024-04-08,2446.0,withdrawal
,,,,,
,,,,,
t300,A530,D289,2024-04-01,3242.0,withdrawal
t301,A845,D256,2024-09-25,657.0,withdrawal
,,,,,
,,,,,
t304,A177,D223,2024-07-07,2384.0,transfer
t305,A143,D353,2024-08-01,385.0,transfer
,,,,,
,,,,,
,,,,,
t309,A671,D291,2024-01-15,991.0,withdrawal
t310,A737,D821,2024-04-22,1968.0,deposit
,,,,,
t312,A984,D965,2024-04-04,905.0,withdrawal
t313,A583,D410,2024-01-09,150.0,transfer
t314,A870,D139,2024-04-07,3269.0,deposit
,,,,,
t316,A124,D769,2024-11-24,2455.0,withdrawal
t317,A893,D436,2024-01-17,2013.0,withdrawal
,,,,,
t319,A777,D209,2024-11-04,4682.0,deposit
t320,A545,D250,2024-02-16,3775.0,deposit
,,,,,
t322,A475,D604,2024-09-09,1316.0,transfer
t323,A217,D788,2024-10-25,2983.0,withdrawal
t324,A784,D190,2024-04-11,2807.0,withdrawal
t325,A824,D209,2024-02-26,1555.0,withdrawal
,,,,,
t327,A336,D259,2024-10-22,3642.0,deposit
t328,A233,D211,2024-01-07,4781.0,deposit
t329,A918,D576,2024-01-04,3528.0,deposit
,,,,,
t331,A923,D456,2024-10-17,2289.0,deposit
,,,,,
t333,A417,D795,2024-09-08,3864.0,deposit
t334,A247,D232,2024-11-27,4820.0,transfer
t335,A348,D706,2024-05-15,367.0,deposit
t336,A507,D560,2024-10-20,2478.0,transfer
,,,,,
t338,A921,D751,2024-03-27,2640.0,withdrawal
,,,,,
t340,A965,D320,2024-01-03,2466.0,deposit
,,,,,
,,,,,
,,,,,
,,,,,
t345,A684,D653,2024-11-22,1198.0,transfer
,,,,,
t347,A897,D112,2024-03-05,2178.0,withdrawal
t348,A752,D143,2024-10-24,590.0,transfer
,,,,,
t350,A408,D508,2024-09-18,1659.0,transfer
t351,A421,D900,2024-10-22,2954.0,deposit
t352,A314,D823,2024-06-20,2397.0,deposit
,,,,,
t354,A427,D491,2024-10-23,1815.0,deposit
t355,A855,D422,2024-05-20,440.0,withdrawal
t356,A670,D712,2024-03-06,2760.0,deposit
t357,A118,D962,2024-08-03,4285.0,withdrawal
t358,A330,D777,2024-08-25,2542.0,withdrawal
,,,,,
,,,,,
t361,A114,D624,2024-09-02,3798.0,deposit
t362,A700,D228,2024-09-19,1531.0,withdrawal
,,,,,
t364,A844,D818,2024-05-14,2191.0,deposit
,,,,,
,,,,,
t367,A337,D764,2024-12-11,1655.0,transfer
t368,A448,D966,2024-07-16,3256.0,transfer
t369,A802,D370,2024-12-18,4589.0,withdrawal
,,,,,
,,,,,
,,,,,
t373,A878,D797,2024-07-08,1338.0,deposit
t374,A842,D244,2024-03-02,4530.0,deposit
,,,,,
,,,,,
t377,A161,D303,2024-02-23,4512.0,transfer
t378,A603,D712,2024-06-24,228.0,transfer
,,,,,
t380,A980,D763,2024-04-26,4392.0,withdrawal
t381,A320,D510,2024-07-13,1470.0,transfer
t382,A165,D895,2024-01-28,1814.0,deposit
,,,,,
,,,,,
,,,,,
t386,A779,D215,2024-07-16,4566.0,withdrawal
,,,,,
t388,A314,D164,2024-03-28,2932.0,deposit
t389,A910,D957,2024-01-11,511.0,deposit
,,,,,
,,,,,
,,,,,
,,,,,
t394,A890,D888,2024-12-20,3093.0,withdrawal
t395,A612,D552,2024-09-11,2909.0,transfer
,,,,,
t397,A130,D792,2024-07-18,1275.0,withdrawal
t398,A965,D618,2024-07-01,3796.0,withdrawal
t399,A306,D884,2024-03-07,4497.0,withdrawal
t400,A574,D484,2024-08-23,273.0,withdrawal
t401,A535,D919,2024-06-11,4839.0,transfer
t402,A965,D758,2024-06-15,1635.0,deposit
t403,A210,D722,2024-11-05,3714.0,withdrawal
t404,A932,D717,2024-08-21,1077.0,deposit
,,,,,
,,,,,
,,,,,
t408,A686,D183,2024-10-12,4357.0,withdrawal
t409,A405,D939,2024-08-25,1627.0,deposit
t410,A434,D721,2024-05-09,2325.0,withdrawal
t411,A241,D965,2024-09-20,3831.0,transfer
t412,A714,D484,2024-02-21,3656.0,withdrawal
,,,,,
t414,A831,D719,2024-06-21,320.0,deposit
t415,A361,D742,2024-08-03,3498.0,withdrawal
t416,A798,D588,2024-07-12,4010.0,transfer
t417,A290,D404,2024-02-12,366.0,withdrawal
,,,,,
t419,A130,D694,2024-10-02,2703.0,transfer
,,,,,
t421,A113,D131,2024-02-14,493.0,deposit
,,,,,
,,,,,
,,,,,
t425,A269,D762,2024-02-02,3356.0,transfer
t426,A847,D308,2024-03-01,2930.0,deposit
t427,A821,D775,2024-01-14,348.0,withdrawal
t428,A315,D910,2024-11-24,591.0,deposit
t429,A996,D598,2024-06-11,518.0,deposit
t430,A974,D859,2024-02-22,258.0,transfer
t431,A913,D515,2024-06-07,1807.0,transfer
t432,A561,D322,2024-03-05,2481.0,deposit
t433,A453,D596,2024-10-23,3842.0,transfer
t434,A567,D699,2024-03-28,4433.0,withdrawal
t435,A480,D383,2024-02-27,1561.0,deposit
t436,A787,D328,2024-01-11,3534.0,deposit
,,,,,
,,,,,
t439,A250,D372,2024-06-21,1246.0,withdrawal
t440,A123,D629,2024-05-26,862.0,deposit
t441,A116,D303,2024-06-06,4748.0,withdrawal
,,,,,
,,,,,
t444,A990,D539,2024-04-07,4304.0,transfer
t445,A576,D369,2024-06-18,2482.0,transfer
t446,A166,D670,2024-03-13,2243.0,withdrawal
,,,,,
t448,A970,D451,2024-12-17,1954.0,deposit
,,,,,
t450,A937,D227,2024-11-25,3717.0,transfer
t451,A408,D587,2024-09-02,514.0,deposit
,,,,,
t453,A345,D555,2024-06-20,3477.0,withdrawal
t454,A996,D846,2024-04-23,4490.0,withdrawal
,,,,,
t456,A206,D653,2024-04-23,252.0,deposit
t457,A262,D785,2024-10-12,4714.0,transfer
t458,A356,D464,2024-05-24,2303.0,transfer
,,,,,
,,,,,
t461,A969,D248,2024-11-15,4416.0,transfer
t462,A768,D404,2024-11-10,2462.0,transfer
t463,A936,D949,2024-06-04,3751.0,withdrawal
,,,,,
,,,,,
t466,A518,D917,2024-12-08,4943.0,withdrawal
,,,,,
t468,A731,D123,2024-01-05,1378.0,deposit
t469,A914,D664,2024-07-23,1661.0,transfer
t470,A301,D584,2024-10-28,4964.0,withdrawal
t471,A696,D903,2024-05-12,1380.0,transfer
t472,A709,D528,2024-03-05,2892.0,deposit
t473,A910,D188,2024-09-21,467.0,withdrawal
t474,A715,D474,2024-12-07,3111.0,withdrawal
t475,A846,D219,2024-01-06,4803.0,deposit
,,,,,
t477,A528,D938,2024-09-23,2132.0,deposit
t478,A416,D913,2024-01-15,893.0,deposit
,,,,,
t480,A969,D713,2024-09-04,2270.0,deposit
t481,A894,D141,2024-12-14,4740.0,deposit
,,,,,
,,,,,
t484,A798,D561,2024-06-02,4893.0,deposit
t485,A248,D910,2024-07-09,2005.0,withdrawal
t486,A920,D857,2024-04-22,4736.0,transfer
t487,A593,D923,2024-04-24,4627.0,deposit
t488,A512,D722,2024-11-01,637.0,withdrawal
,,,,,
,,,,,
,,,,,
t492,A489,D770,2024-02-13,3744.0,withdrawal
,,,,,
t494,A951,D457,2024-09-01,3476.0,withdrawal
,,,,,
,,,,,
t497,A720,D618,2024-03-15,2640.0,withdrawal
,,,,,
,,,,,
t500,A291,D348,2024-06-22,2744.0,transfer
t501,A272,D605,2024-03-24,2690.0,deposit
t502,A629,D286,2024-01-23,2595.0,withdrawal
,,,,,
t504,A539,D893,2024-07-22,4961.0,withdrawal
,,,,,
t506,A242,D298,2024-10-11,3785.0,deposit
,,,,,
,,,,,
,,,,,
t510,A485,D777,2024-09-13,4120.0,transfer
t511,A719,D232,2024-10-28,2389.0,withdrawal
t512,A373,D646,2024-03-22,4053.0,transfer
,,,,,
t514,A846,D144,2024-04-02,3897.0,withdrawal
,,,,,
,,,,,
t517,A317,D252,2024-09-04,2039.0,withdrawal
,,,,,
t519,A929,D946,2024-01-04,1736.0,transfer
t520,A167,D241,2024-10-07,1232.0,withdrawal
t521,A685,D848,2024-11-08,145.0,transfer
,,,,,
,,,,,
,,,,,
t525,A252,D807,2024-07-03,1495.0,transfer
,,,,,
,,,,,
t528,A121,D148,2024-09-07,3016.0,transfer
t529,A160,D650,2024-06-20,3326.0,withdrawal
,,,,,
t531,A719,D925,2024-05-27,2620.0,withdrawal
,,,,,
t533,A218,D876,2024-03-17,4034.0,withdrawal
t534,A295,D188,2024-10-15,1215.0,deposit
,,,,,
t536,A544,D268,2024-02-02,1841.0,transfer
,,,,,
,,,,,
t539,A786,D480,2024-03-23,4695.0,withdrawal
,,,,,
t541,A445,D738,2024-06-20,4151.0,transfer
,,,,,
t543,A867,D775,2024-02-26,280.0,deposit
t544,A576,D526,2024-08-26,3402.0,deposit
t545,A523,D241,2024-12-24,2057.0,deposit
,,,,,
t547,A868,D527,2024-09-05,2516.0,transfer
,,,,,
,,,,,
t550,A934,D900,2024-01-08,4994.0,transfer
t551,A328,D100,2024-08-06,651.0,transfer
t552,A973,D414,2024-05-14,1780.0,deposit
,,,,,
t554,A535,D697,2024-11-05,3372.0,transfer
t555,A435,D863,2024-02-16,1564.0,withdrawal
t556,A438,D177,2024-02-27,1403.0,transfer
,,,,,
,,,,,
t559,A435,D119,2024-05-16,4361.0,withdrawal
,,,,,
,,,,,
t562,A888,D642,2024-10-11,216.0,deposit
t563,A538,D667,2024-03-24,3803.0,withdrawal
t564,A898,D879,2024-05-12,837.0,transfer
t565,A287,D100,2024-11-24,4615.0,deposit
t566,A582,D463,2024-10-03,1001.0,withdrawal
t567,A197,D473,2024-10-16,4103.0,deposit
t568,A986,D685,2024-07-09,4591.0,deposit
t569,A446,D193,2024-09-05,3359.0,transfer
,,,,,
,,,,,
,,,,,
,,,,,
t574,A473,D873,2024-07-20,2891.0,deposit
,,,,,
,,,,,
t577,A751,D150,2024-01-12,2953.0,transfer
t578,A343,D542,2024-06-17,2798.0,transfer
t579,A378,D718,2024-10-19,989.0,withdrawal
t580,A220,D288,2024-09-09,2020.0,withdrawal
,,,,,
,,,,,
t583,A780,D905,2024-11-12,1312.0,deposit
,,,,,
,,,,,
,,,,,
t587,A706,D800,2024-01-07,247.0,transfer
,,,,,
,,,,,
,,,,,
t591,A601,D446,2024-06-02,2390.0,withdrawal
t592,A757,D914,2024-06-03,666.0,withdrawal
t593,A126,D389,2024-09-28,3312.0,transfer
,,,,,
t595,A337,D411,2024-06-01,3589.0,withdrawal
t596,A404,D804,2024-05-27,1570.0,transfer
,,,,,
,,,,,
t599,A505,D336,2024-12-25,4868.0,deposit
,,,,,
,,,,,
t602,A962,D615,2024-12-10,2250.0,transfer
,,,,,
t604,A631,D509,2024-03-21,3892.0,withdrawal
t605,A452,D142,2024-12-05,4440.0,transfer
t606,A648,D397,2024-07-01,1131.0,transfer
,,,,,
,,,,,
t609,A406,D267,2024-07-23,3619.0,withdrawal
,,,,,
,,,,,
t612,A918,D939,2024-12-27,2933.0,withdrawal
,,,,,
t614,A230,D955,2024-02-08,2367.0,transfer
,,,,,
,,,,,
,,,,,
t618,A800,D249,2024-09-18,3924.0,transfer
t619,A497,D152,2024-09-24,2343.0,transfer
,,,,,
t621,A930,D454,2024-12-04,3013.0,deposit
t622,A822,D784,2024-06-26,2376.0,transfer
,,,,,
t624,A828,D316,2024-09-28,712.0,withdrawal
t625,A827,D659,2024-01-01,132.0,deposit
t626,A166,D952,2024-11-19,205.0,deposit
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
t634,A948,D563,2024-02-05,413.0,deposit
,,,,,
,,,,,
t637,A864,D680,2024-08-05,602.0,withdrawal
t638,A480,D791,2024-02-25,470.0,withdrawal
,,,,,
t640,A533,D357,2024-06-24,3663.0,withdrawal
t641,A452,D165,2024-05-12,1668.0,transfer
t642,A879,D380,2024-09-16,1853.0,withdrawal
t643,A112,D495,2024-03-25,1170.0,withdrawal
,,,,,
,,,,,
,,,,,
,,,,,
t648,A362,D596,2024-12-21,2544.0,transfer
t649,A239,D986,2024-06-13,4305.0,withdrawal
,,,,,
,,,,,
t652,A662,D931,2024-11-18,2614.0,transfer
t653,A478,D907,2024-06-26,4768.0,deposit
t654,A963,D790,2024-11-26,3173.0,transfer
t655,A816,D783,2024-03-19,479.0,deposit
t656,A727,D498,2024-09-04,1815.0,deposit
t657,A931,D248,2024-03-04,1559.0,transfer
t658,A661,D632,2024-06-01,4393.0,deposit
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
t665,A142,D159,2024-09-05,4085.0,withdrawal
t666,A176,D181,2024-11-12,672.0,withdrawal
,,,,,
,,,,,
t669,A896,D166,2024-11-28,1918.0,deposit
,,,,,
,,,,,
,,,,,
t673,A349,D532,2024-07-12,3860.0,withdrawal
t674,A788,D361,2024-03-22,2601.0,withdrawal
,,,,,
t676,A883,D773,2024-12-20,272.0,transfer
t677,A964,D416,2024-10-05,3278.0,deposit
t678,A816,D915,2024-03-22,3806.0,transfer
t679,A475,D970,2024-11-27,2177.0,withdrawal
,,,,,
,,,,,
,,,,,
t683,A452,D595,2024-12-28,1314.0,deposit
t684,A914,D461,2024-04-27,4789.0,transfer
t685,A912,D760,2024-10-18,3517.0,withdrawal
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
t694,A192,D858,2024-10-13,3944.0,withdrawal
t695,A507,D930,2024-01-19,2109.0,deposit
,,,,,
t697,A336,D925,2024-03-21,1333.0,deposit
,,,,,
,,,,,
,,,,,
t701,A145,D873,2024-07-27,3522.0,deposit
t702,A776,D281,2024-09-17,3669.0,deposit
t703,A788,D558,2024-02-12,485.0,transfer
,,,,,
t705,A410,D663,2024-03-27,2253.0,deposit
t706,A347,D548,2024-12-21,1745.0,transfer
t707,A100,D595,2024-10-11,892.0,transfer
,,,,,
t709,A250,D895,2024-11-11,1243.0,transfer
t710,A939,D537,2024-08-20,4577.0,transfer
t711,A869,D768,2024-08-09,4159.0,deposit
t712,A987,D339,2024-07-27,4732.0,withdrawal
t713,A496,D112,2024-12-27,1119.0,withdrawal
t714,A301,D383,2024-02-28,3657.0,transfer
t715,A217,D174,2024-02-21,446.0,transfer
t716,A889,D549,2024-04-03,1373.0,transfer
,,,,,
,,,,,
t719,A298,D819,2024-05-25,3773.0,transfer
,,,,,
t721,A370,D907,2024-06-15,3645.0,withdrawal
,,,,,
t723,A696,D673,2024-12-18,2850.0,withdrawal
t724,A470,D748,2024-12-28,4645.0,deposit
t725,A573,D135,2024-05-21,3071.0,transfer
,,,,,
,,,,,
,,,,,
,,,,,
t730,A598,D655,2024-12-17,4907.0,transfer
t731,A472,D582,2024-10-14,2140.0,withdrawal
,,,,,
t733,A629,D521,2024-09-16,632.0,transfer
t734,A966,D146,2024-05-03,132.0,withdrawal
,,,,,
t736,A849,D171,2024-06-24,1128.0,deposit
t737,A905,D954,2024-08-22,1079.0,deposit
t738,A244,D818,2024-01-04,1419.0,transfer
t739,A697,D736,2024-11-04,3212.0,deposit
t740,A464,D534,2024-08-02,4836.0,transfer
t741,A933,D730,2024-09-27,1904.0,deposit
t742,A802,D643,2024-09-15,541.0,withdrawal
t743,A124,D563,2024-08-01,3249.0,withdrawal
t744,A657,D253,2024-05-15,2592.0,deposit
t745,A565,D146,2024-09-27,4662.0,withdrawal
t746,A110,D482,2024-12-28,3068.0,transfer
,,,,,
t748,A287,D736,2024-08-15,4287.0,transfer
t749,A955,D217,2024-01-25,3972.0,transfer
t750,A933,D234,2024-04-04,1856.0,transfer
t751,A322,D804,2024-12-03,3096.0,transfer
t752,A102,D654,2024-02-23,4088.0,transfer
t753,A603,D174,2024-08-26,1050.0,transfer
t754,A152,D783,2024-04-16,1988.0,transfer
t755,A599,D139,2024-11-04,918.0,transfer
t756,A494,D957,2024-07-08,1795.0,withdrawal
t757,A328,D253,2024-10-07,2208.0,transfer
,,,,,
t759,A482,D397,2024-03-13,3089.0,deposit
t760,A373,D215,2024-12-02,458.0,deposit
,,,,,
t762,A192,D183,2024-12-21,2954.0,transfer
t763,A477,D872,2024-10-01,3856.0,withdrawal
t764,A372,D675,2024-07-02,3013.0,transfer
t765,A350,D275,2024-12-28,3665.0,withdrawal
t766,A427,D887,2024-08-03,3153.0,withdrawal
t767,A541,D623,2024-04-18,285.0,transfer
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
t773,A800,D795,2024-12-12,1269.0,transfer
t774,A770,D380,2024-10-22,2899.0,transfer
t775,A537,D299,2024-06-24,1670.0,deposit
,,,,,
,,,,,
t778,A672,D604,2024-04-15,3296.0,withdrawal
,,,,,
t780,A362,D107,2024-07-26,722.0,deposit
,,,,,
,,,,,
t783,A394,D664,2024-04-01,1949.0,deposit
t784,A479,D313,2024-05-14,1093.0,withdrawal
,,,,,
,,,,,
t787,A226,D986,2024-05-22,1991.0,transfer
,,,,,
t789,A478,D300,2024-06-09,3855.0,transfer
t790,A225,D879,2024-06-25,2687.0,withdrawal
,,,,,
,,,,,
t793,A829,D372,2024-01-25,1058.0,withdrawal
,,,,,
t795,A674,D623,2024-07-26,1685.0,transfer
t796,A658,D211,2024-09-23,3806.0,withdrawal
t797,A649,D193,2024-06-10,3085.0,deposit
t798,A822,D707,2024-08-25,914.0,transfer
,,,,,
t800,A934,D309,2024-04-10,862.0,transfer
t801,A760,D236,2024-10-05,3955.0,transfer
t802,A309,D949,2024-04-04,1278.0,transfer
,,,,,
t804,A407,D652,2024-10-09,809.0,transfer
,,,,,
t806,A953,D807,2024-03-26,1501.0,transfer
,,,,,
,,,,,
,,,,,
t810,A713,D369,2024-06-03,2364.0,transfer
t811,A691,D711,2024-11-01,4078.0,deposit
t812,A463,D366,2024-11-21,3454.0,transfer
t813,A358,D514,2024-02-19,733.0,deposit
,,,,,
,,,,,
t816,A608,D125,2024-05-12,3309.0,withdrawal
,,,,,
t818,A758,D652,2024-02-27,3588.0,transfer
t819,A923,D930,2024-12-22,3170.0,withdrawal
t820,A996,D560,2024-07-05,1165.0,withdrawal
t821,A619,D204,2024-04-22,4544.0,transfer
